Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Alex Meret,Napoli,25, GK  ,21(1),1951,0,0,0,0,0,0.1,0,0,0,6.36
Andrea Rispoli,Lecce,34," D(R),M(R)  ",20(8),1904,0,0,0.4,0.6,0.2,0.5,0,0.1,0.5,6.36
Mattias Svanberg,Bologna,24, M(CL)  ,12(13),1051,1,2,1.5,0.8,0.3,1.1,0,0.6,0.8,6.35
Nicola Murru,Sampdoria,28," D(L),M(L)  ",26(2),2261,0,0,0.3,0.6,0.6,0.6,0,0.4,0.8,6.34
Federico Santander,Bologna,31, FW  ,5(19),756,1,0,1,0.5,0.2,0.8,0.3,0.4,1.4,6.33
Florian Ayé,Brescia,26, FW  ,15(7),1382,0,0,1,0.4,0.6,1,0.2,1.2,1.8,6.32
Sasa Lukic,Torino,26, M(C)  ,20(10),1858,1,1,0.6,0.4,0.6,0.7,0.1,0.3,1.1,6.31
Bruno Martella,Brescia,30," D(L),M(L)  ",13(11),1264,0,0,0.4,0.6,0.5,0.2,0,0.2,0.8,6.31
Peter Ankersen,Genoa,32," D(R),M(R)  ",11(8),1063,0,1,0.7,0.3,0.3,0.6,0.1,0.5,0.9,6.29
Daniele Dessena,Brescia,35," D(R),M(C)  ",22(2),1878,2,0,0.8,0.1,0.5,0.8,0,0.8,1.3,6.27
Hidde ter Avest,Udinese,25," D(R),M(R)  ",6(14),677,0,0,0.1,0.4,0.1,0.3,0,0.1,0.4,6.26
Nenad Tomovic,SPAL 2013,35, D(CLR)  ,20(3),1755,0,1,0.4,0.4,0.2,0.4,0,0.2,0.3,6.26
Riccardo Sottil,Fiorentina,23, AM(LR)  ,4(14),507,0,0,0.9,0.3,0.9,1.4,0.1,0.4,0.8,6.26
Giuseppe Pezzella,Parma Calcio 1913,25," D(L),M(L)  ",8(14),948,0,0,0.1,0.1,0.5,0.7,0,0.3,0.5,6.25
