Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Seko Fofana,Lens,27, M(C)  ,23(1),2106,0.8,0.7,0.7,0,0.3,0.6,0.1,0,7.01
Terem Moffi,Lorient,23," AM(R),FW  ",17(1),1398,0.4,0.2,0.9,0,0.4,0.1,0.2,0,7.01
Rafael Ratão,Toulouse,27, AM(LR)  ,19(1),1348,2,0.9,1.1,0,0.1,1.2,0,0,7.01
Sofiane Boufal,Angers,29," AM(CLR),FW  ",9(4),838,1.1,0.4,1.5,0,0.1,0.7,0,0,7.01
Caio Henrique,Monaco,25," D(L),M(CL)  ",21(2),1939,2.1,0.6,0.5,0.3,1.6,0.8,0.3,1,7.00
Gianluigi Donnarumma,PSG,24, GK  ,26,2340,0,0,0,0,0.7,0,0,0,7.00
Nuno Mendes,PSG,20," D(L),M(L)  ",13(4),1096,1.9,0.7,1,0.2,0.6,0.4,0.1,0,7.00
Ludovic Blas,Nantes,25," M(CLR),FW  ",21(4),1944,1.4,0.6,1.6,0,0.2,0.8,0,0,7.00
Alexis Sánchez,Marseille,34," M(CLR),FW  ",20(3),1737,0.7,0.1,1.1,0,0.1,0.3,0,0,7.00
Azor Matusiwa,Reims,24, DMC  ,19(1),1672,2.5,1.8,1.5,0,1.5,0.7,0.4,0,6.99
Franck Honorat,Brest,26," M(LR),FW  ",21(2),1820,1.3,0.8,0.7,0,0.4,0.6,0,0,6.99
Nuno Tavares,Marseille,23," D(L),M(L)  ",18(4),1758,1.9,0.5,1.2,0,0.7,0.9,0.1,0,6.99
Junya Ito,Reims,30," AM(LR),FW  ",22(1),1878,1.3,0.3,0.6,0,0.1,1.3,0,0,6.98
Kevin Danso,Lens,24, D(C)  ,26,2340,1.1,1,1.2,0.7,3.5,0.4,0.8,0,6.98
Breel Embolo,Monaco,26," AM(CR),FW  ",18(8),1636,0.5,0.2,1.5,0.1,0.5,0.2,0.1,0,6.98
Yunis Abdelhamid,Reims,35, D(C)  ,26,2340,2.5,1.8,1.3,0.6,3.3,0.3,0.7,0,6.97
Youcef Belaïli,AC Ajaccio,30, AM(L)  ,12(2),961,1.1,0.3,1.5,0,0.1,0.7,0.1,0,6.97
Jonathan Bamba,Lille,26," AM(CLR),FW  ",20(2),1799,1,0.8,1.1,0,0.2,0.8,0,0,6.96
Przemyslaw Frankowski,Lens,27, M(CLR)  ,20(6),1876,2.2,1.2,1,0.1,1,1,0.2,0,6.96
Dante,Nice,39, D(C)  ,25,2250,1.6,1.4,0.8,0.3,3.7,0.6,0.9,0,6.96
Valentin Rongier,Marseille,28," D(R),M(C)  ",23(2),2044,2.3,1.4,1.5,0,0.7,1,0.3,0,6.96
Benjamin Bourigeaud,Rennes,29, M(CLR)  ,25,2040,1.1,0.8,0.9,0.1,0.7,1.1,0,0,6.94
Baptiste Santamaría,Rennes,28, DMC  ,13(1),1129,2.3,1.1,1,0.1,1,1.1,0.2,0,6.94
