Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Rúben Neves,Wolves,25, DMC  ,31(2),2663,2.1,1.2,0.8,0.1,1.4,1.9,0.2,0,6.85
Romain Saïss,Wolves,32," D(C),DMC  ",31,2709,1.3,1.9,1,0.2,4.8,0.5,0.7,0,6.85
Kai Havertz,Chelsea,23," M(CR),FW  ",22(7),1816,0.6,0.1,1.4,0,1,0.3,0,0,6.85
Roberto Firmino,Liverpool,31," M(CLR),FW  ",10(10),987,1.2,0.2,0.4,0,0.2,0.7,0,0,6.85
Kyle Walker-Peters,Southampton,25," D(LR),M(R)  ",29(3),2632,1.8,1.2,0.8,0.3,1.3,0.4,0.3,0,6.84
James McArthur,Crystal Palace,35, M(CLR)  ,15(6),1438,1.6,1.4,1.1,0,1.2,1.3,0.4,0,6.83
Takehiro Tomiyasu,Arsenal,24, D(CLR)  ,20(1),1682,1.7,1.1,0.8,0.1,2.6,0.5,0.1,0,6.83
José Sá,Wolves,30, GK  ,37,3286,0.1,0.1,0.1,0,1.1,0.1,0,1,6.83
Mohammed Salisu,Southampton,23, D(CL)  ,33(1),2972,2.4,2.3,1.1,0.6,4.4,0.7,0.8,1,6.82
Joelinton,Newcastle,26," AM(CLR),FW  ",30(5),2559,2.1,1,1.8,0,1.3,1,0.3,0,6.82
Lucas Moura,Tottenham,30," AM(CLR),FW  ",19(15),1774,0.7,0.5,0.6,0,0.5,0.8,0,0,6.82
César Azpilicueta,Chelsea,33," D(CLR),M(R)  ",24(3),2075,1.9,0.9,0.9,0.1,2.3,0.7,0.3,0,6.82
Charlie Taylor,Burnley,29," D(CL),M(L)  ",30(1),2731,1.5,1.9,0.5,0.5,2.3,0.6,0.6,0,6.82
Nélson Semedo,Wolves,29," D(LR),M(R)  ",25,2137,2.3,0.8,0.9,0.1,2.1,1,0.2,0,6.82
Nick Pope,Burnley,30, GK  ,36,3240,0,0.1,0,0,1.3,0.1,0,0,6.82
Romelu Lukaku,Chelsea,29," AM(R),FW  ",16(10),1586,0.1,0,0.3,0,0.8,0.2,0,0,6.82
Jan Bednarek,Southampton,26, D(C)  ,30(1),2633,1,2.3,1,0.3,4.5,0.5,0.9,1,6.81
Pablo Fornals,West Ham,27, M(CLR)  ,32(4),2804,1.5,0.8,0.7,0,0.4,1.7,0.1,0,6.80
David Raya,Brentford,27, GK  ,24,2160,0,0,0,0,0.7,0,0,0,6.80
Joël Veltman,Brighton,31," D(CR),M(R)  ",33(1),2881,2.2,1.3,1.1,0.1,2.5,0.9,0.5,0,6.80
Naby Keïta,Liverpool,28, M(C)  ,14(9),1175,2,0.6,0.9,0,0.1,0.7,0.1,0,6.79
Pascal Groß,Brighton,31," D(R),M(CR),FW  ",24(5),2043,1,0.6,0.5,0,0.7,0.7,0.3,0,6.79
Harvey Barnes,Leicester,25, AM(CL)  ,24(8),2107,1,0.2,0.6,0,0.2,0.5,0,0,6.79
Hugo Lloris,Tottenham,36, GK  ,38,3420,0,0,0,0,0.9,0,0,0,6.79
João Pedro,Watford,21," AM(CL),FW  ",15(13),1639,0.7,0.5,0.5,0,0.6,0.6,0.1,0,6.78
Stuart Dallas,Leeds,31," D(LR),M(CLR)  ",34,2929,2.7,1.7,1,0.3,1.6,1.4,0.4,0,6.78
Raphaël Varane,Man Utd,29, D(C)  ,20(2),1829,1.3,0.8,0.2,0.7,3.5,0.5,0.4,0,6.78
Demarai Gray,Everton,26," AM(CLR),FW  ",28(6),2352,0.9,0.4,0.4,0,0.4,0.4,0.1,0,6.78
Ben Davies,Tottenham,29," D(CL),M(L)  ",28(1),2540,1.2,1,1.1,0.3,2.5,0.4,0.7,0,6.78
Daniel Podence,Wolves,27," AM(CLR),FW  ",15(11),1486,0.7,0.4,0.3,0,0,0.5,0,0,6.78
Ben White,Arsenal,25," D(CR),DMC  ",32,2880,1.4,1.3,0.6,0.6,3.2,0.5,0.8,1,6.78
Douglas Luiz,Aston Villa,24, M(C)  ,31(3),2720,1.7,1,1.1,0.1,0.6,1.5,0.2,0,6.77
Marc Guéhi,Crystal Palace,22, D(C)  ,36,3223,1,0.8,0.4,0.5,3.5,0,0.7,0,6.77
Jacob Ramsey,Aston Villa,21, AM(CLR)  ,29(5),2477,2,0.7,0.9,0,0.7,1.1,0.2,0,6.77
Kieran Tierney,Arsenal,25," D(CL),M(L)  ",22,1919,0.8,0.7,0.2,0.2,2.2,0,0.2,0,6.77
Eric Dier,Tottenham,29," D(CR),DMC  ",35,3072,0.4,0.8,0.3,0.3,4,0.2,0.9,1,6.77
Pontus Jansson,Brentford,32, D(C)  ,37,3322,1.1,1.4,0.4,0.6,5,0.3,0.7,0,6.76
Lukasz Fabianski,West Ham,37, GK  ,37,3330,0,0,0,0,0.6,0,0,0,6.76
Alexis Mac Allister,Brighton,24," M(CL),FW  ",22(11),2118,2,0.4,0.9,0,0.5,1.2,0.2,0,6.75
Tyrick Mitchell,Crystal Palace,23, D(L)  ,35(1),3103,2.9,1.1,0.4,0.2,2.3,0.6,0.1,0,6.75
Aaron Cresswell,West Ham,33," D(CL),M(L)  ",31,2728,0.9,1.1,0.5,0.1,2.1,0.4,0.6,0,6.75
Emiliano Buendía,Aston Villa,26, M(CLR)  ,22(13),1902,1.1,0.3,0.5,0,0.3,0.9,0.1,0,6.75
Gabriel Magalhães,Arsenal,25, D(C)  ,35,3068,1.4,0.4,0.7,0.6,3.1,0.3,0.7,0,6.74
Kurt Zouma,West Ham,28, D(CR)  ,24,2080,0.5,1.4,0.5,0.3,5.5,0.1,1.1,1,6.74
Emile Smith Rowe,Arsenal,22, AM(CL)  ,21(12),1922,0.4,0.5,0.2,0,0.3,0.5,0,0,6.74
Cheikhou Kouyaté,Crystal Palace,33," D(CR),DMC  ",23(4),1978,1.9,1.4,1.1,0,1.2,0.8,0.5,0,6.74
Çaglar Söyüncü,Leicester,26, D(C)  ,28,2498,1.7,1.1,0.9,0.7,4,0.6,1,0,6.74
Bryan Mbeumo,Brentford,23," AM(LR),FW  ",34(1),2916,0.8,0.3,0.6,0,0.4,0.4,0.2,0,6.74
Tyrone Mings,Aston Villa,29, D(CL)  ,35(1),3188,0.6,1.3,0.8,0.3,4.2,0.2,0.8,0,6.74
Alexandre Lacazette,Arsenal,31," M(CLR),FW  ",20(10),1789,0.9,0.2,1.1,0,0.2,0.5,0,0,6.74
Tino Livramento,Southampton,20, D(R)  ,25(3),2203,1.9,1.7,0.4,0.1,1.7,0.6,0.3,0,6.73
Lewis Dunk,Brighton,31, D(C)  ,29,2574,0.3,0.9,0.3,0.2,3.8,0.2,1,0,6.73
Kasper Schmeichel,Leicester,36, GK  ,37,3330,0,0,0,0,0.7,0.1,0,0,6.73
Kristoffer Ajer,Brentford,24," D(CR),DMC  ",23(1),1987,1.2,1.1,0.5,0.4,3,0.3,0.5,0,6.73
Vitaly Janelt,Brentford,24, DMC  ,27(4),2309,2,0.9,0.8,0,1,0.8,0.2,0,6.73
Grant Hanley,Norwich,31, D(C)  ,33,2899,1.3,1.7,0.7,0.4,5.2,0.5,1.4,0,6.73
Luke Thomas,Leicester,21," D(L),M(L)  ",21(1),1912,2.3,1.8,0.7,0.2,2.1,1.7,0.6,0,6.73
Jeffrey Schlupp,Crystal Palace,30," D(L),M(CLR)  ",20(12),1846,1.4,0.6,0.8,0.1,1,0.8,0.3,0,6.73
Abdoulaye Doucouré,Everton,30, M(C)  ,29(1),2538,2.5,0.9,1.3,0,1,1.3,0.3,0,6.72
Joel Ward,Crystal Palace,33," D(CLR),DMC,M(R)  ",27(1),2486,1.6,1.1,0.8,0.3,3.4,1,0.4,0,6.72
Che Adams,Southampton,26," AM(CL),FW  ",23(7),2043,0.4,0.3,1,0,0.5,0.5,0.1,0,6.72
Michael Keane,Everton,30, D(CR)  ,31(1),2793,1.4,1.9,0.5,0.3,4,0.5,0.9,2,6.72
Adam Webster,Brighton,28, D(C)  ,16(6),1432,1.2,0.8,0.7,0.5,2.8,0.3,0.8,0,6.72
Kyle Walker,Man City,32," D(CR),M(R)  ",20,1756,0.8,0.7,0.4,0.4,0.8,0.5,0.2,0,6.72
Fraser Forster,Southampton,34, GK  ,19,1710,0.1,0,0,0,1.8,0.1,0,0,6.71
Andros Townsend,Everton,31," AM(LR),FW  ",17(4),1459,1.5,0.7,0.5,0,0.2,1.2,0.1,0,6.71
Joshua King,Watford,31," AM(CLR),FW  ",27(5),2251,0.6,0.3,1.3,0,0.9,0.4,0.1,0,6.70
Fabian Schär,Newcastle,31, D(C)  ,25,2161,0.6,1.3,1,0.4,3.8,0.3,0.7,0,6.70
Timothy Castagne,Leicester,27," D(CLR),M(LR)  ",22(5),2126,2.5,1.1,0.6,0.2,1.7,0.6,0.3,0,6.70
