Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Daniele Verde,Spezia,26," AM(CLR),FW  ",13(9),983,6,1,1,0,1.5,84.9,0,0,6.50
Jakub Jankto,Sampdoria,27, M(CLR)  ,29(6),2423,6,3,6,0,1.1,73.2,0.3,1,6.50
Marco Silvestri,Verona,32, GK  ,34,3060,0,0,1,0,0,41.1,0.3,1,6.49
Bartlomiej Dragowski,Fiorentina,25, GK  ,37,3151,0,1,0,1,0,60.7,0.2,1,6.49
Nahuel Molina,Udinese,24," D(R),M(R)  ",18(11),1821,2,5,1,0,0.6,78.8,0.4,0,6.49
Sandro Tonali,AC Milan,22, DMC  ,17(8),1338,0,0,1,1,0.4,83.6,0.2,0,6.49
Giulio Maggiore,Spezia,24, M(C)  ,26(7),2225,3,1,3,0,1.2,70.9,0.9,1,6.48
Sasa Lukic,Torino,26, M(C)  ,24(8),2112,3,0,4,0,0.6,81,0.8,0,6.48
Pawel Dawidowicz,Verona,27, D(C)  ,22(8),1866,0,0,9,0,0.5,83.4,1.4,0,6.48
Mert Müldür,Sassuolo,23, D(R)  ,18(10),1678,0,0,2,0,0.5,80.5,0.7,0,6.48
Sebastian Walukiewicz,Cagliari,22, D(C)  ,18(1),1618,0,1,1,0,0.2,85.9,0.8,0,6.47
Claudio Terzi,Spezia,38, D(C)  ,22(3),1874,1,1,7,1,0.2,84.5,1.4,1,6.47
Germán Pezzella,Fiorentina,31, D(C)  ,32,2748,1,0,5,0,0.5,85.1,2.1,0,6.46
Samu Castillejo,AC Milan,28, AM(CLR)  ,12(16),1178,1,0,5,0,0.9,84,0.3,0,6.46
Gregoire Defrel,Sassuolo,31," AM(CR),FW  ",14(14),1335,3,3,1,0,0.8,88.1,0.5,0,6.46
Roberto Insigne,Benevento,28, AM(C)  ,17(13),1607,2,4,3,0,1.3,82,0.2,0,6.45
Giovanni Simeone,Cagliari,27," AM(R),FW  ",19(14),1744,6,2,1,0,1.3,75.4,0.9,1,6.45
Andreas Skov Olsen,Bologna,23, M(CR)  ,12(14),1178,2,2,1,0,1.2,82,0.4,0,6.45
Alessandro Tuia,Benevento,32, D(C)  ,19(8),1770,1,0,6,0,0.3,80,1.1,1,6.45
Lorenzo De Silvestri,Bologna,34," D(R),M(R)  ",25(4),2149,2,0,4,0,0.4,75.6,1.7,0,6.45
Juan Musso,Udinese,28, GK  ,35,3148,0,0,5,0,0,71.1,0.2,1,6.45
Marash Kumbulla,Roma,23, D(C)  ,14(7),1364,1,0,7,0,0.3,88.6,1.3,0,6.44
Pedro Obiang,Sassuolo,30, DMC  ,16(17),1465,0,1,4,1,0.5,89.1,0.9,0,6.44
Pasquale Schiattarella,Benevento,35," DMC,M(R)  ",26(3),2253,1,1,14,1,0.4,81.6,0.4,0,6.44
Matteo Lovato,Verona,23, D(C)  ,14(10),1384,0,0,5,0,0,78.8,1.4,0,6.44
Federico Bernardeschi,Juventus,29," M(CLR),FW  ",8(19),961,0,2,3,0,0.5,83.9,0.2,0,6.44
Mërgim Vojvoda,Torino,28," D(CR),M(LR)  ",17(7),1363,2,2,4,0,0.3,82.2,0.5,0,6.43
Carles Pérez,Roma,25," AM(CR),FW  ",6(15),762,2,1,0,0,1.1,82.6,0.1,1,6.43
Goran Pandev,Genoa,39," M(CR),FW  ",15(14),1405,7,3,5,0,0.7,77.4,0.6,2,6.43
Valerio Verre,Sampdoria,29," AM(CL),FW  ",12(15),999,3,3,3,0,0.9,72,0.7,0,6.43
Danilo D'Ambrosio,Inter,34," D(CLR),M(LR)  ",7(12),689,3,0,2,0,0.4,92.2,0.5,0,6.43
Lorenzo Montipò,Benevento,27, GK  ,37,3330,0,0,3,0,0,59.3,0.3,3,6.42
Emanuel Vignato,Bologna,22, AM(CL)  ,11(20),1193,1,4,4,0,0.7,77.9,0.1,1,6.42
Paolo Ghiglione,Genoa,26," D(R),M(R)  ",14(9),1360,0,4,4,0,0.4,69.3,0.7,0,6.42
Jens Stryger Larsen,Udinese,32," D(CLR),M(LR)  ",30(3),2647,2,0,0,0,0.7,80.5,0.7,0,6.42
Alfred Duncan,Cagliari,29, DMC  ,12(7),1067,0,1,2,0,0.4,82.1,0.4,0,6.41
Simone Zaza,Torino,31, FW  ,15(14),1485,6,0,4,0,2,72.8,1.6,0,6.41
Marlon Santos,Sassuolo,27, D(C)  ,19(5),1739,0,0,4,1,0.2,95.1,1.6,0,6.41
Kaan Ayhan,Sassuolo,28," D(CR),DMC  ",7(12),788,0,0,2,0,0.3,91,0.6,1,6.41
Edoardo Goldaniga,Genoa,29, D(CR)  ,19(6),1854,0,1,8,0,0.3,75.9,1.1,0,6.41
Lisandro Magallán,Crotone,29, D(C)  ,25(3),2185,1,2,10,0,0.3,81.3,1.5,0,6.40
Artur Ionita,Benevento,32, M(CR)  ,34(2),2847,2,0,6,0,0.6,78.4,1.8,0,6.40
Kevin Lasagna,Verona,30," AM(CL),FW  ",14(5),1270,2,0,0,0,1.6,70.2,1.5,0,6.40
