Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Gaëtan Laborde,Rennes,28," AM(CLR),FW  ",32(2),2741,12,8,1,0,2.5,65.7,2.6,4,7.14
Andrei Girotto,Nantes,31," D(C),DMC  ",36,3150,6,1,8,0,1.3,81.6,3,4,7.13
Franck Honorat,Brest,26," M(LR),FW  ",34,2911,11,4,3,0,1.8,74.5,0.5,4,7.13
Andy Delort,Nice,31," AM(R),FW  ",26(6),2449,16,2,3,0,3.1,61.1,3.1,5,7.09
Lovro Majer,Rennes,25, AM(CR)  ,21(8),1841,6,8,1,0,1.6,81,0.1,1,7.06
Ludovic Ajorque,Strasbourg,29, FW  ,31(5),2743,12,8,5,1,1.6,72.9,3.5,4,7.05
Wissam Ben Yedder,Monaco,32," AM(C),FW  ",29(8),2541,25,5,3,0,1.9,73.5,0.6,1,7.04
Kiki Kouyaté,Metz,25, D(C)  ,30,2666,1,0,8,1,0.7,81.4,3.1,6,7.04
Frédéric Guilbert,Strasbourg,28," D(CLR),M(R)  ",28(5),2521,0,4,4,0,0.7,75.5,0.8,4,7.04
Amine Gouiri,Nice,23," AM(L),FW  ",32(6),2765,10,9,3,0,2,80.4,0.3,5,7.01
Moses Simon,Nantes,27," M(CLR),FW  ",29(1),2352,6,8,3,0,1.4,75,0.5,2,7.01
Randal Kolo Muani,Nantes,24," AM(R),FW  ",34(2),2958,12,4,2,0,1.5,70.1,1.9,5,7.01
Hamari Traoré,Rennes,31," D(R),M(R)  ",33,2898,3,10,4,0,0.9,84.9,1.2,1,7.00
Kamaldeen Sulemana,Rennes,21, AM(L)  ,11(9),1018,4,2,3,0,1.3,80.3,0.3,4,7.00
Benjamin André,Lille,32," D(R),M(CLR)  ",33,2764,2,1,11,1,0.5,80.4,2.9,2,6.99
Jimmy Cabot,Angers,28, M(LR)  ,24,2012,0,4,4,0,0.5,80.9,0.5,1,6.99
Florian Sotoca,Lens,32," AM(CR),FW  ",28(7),2487,6,4,7,0,2,78.2,2.6,4,6.99
Florian Tardieu,Troyes,30, M(C)  ,29(1),2631,4,2,6,0,0.8,86.5,1,2,6.98
Marshall Munetsi,Reims,26," D(C),M(C)  ",20(4),1886,5,1,8,0,1.3,79.7,2.5,2,6.95
Adrien Thomasson,Strasbourg,29, M(CLR)  ,27(4),2397,8,4,2,1,1.5,78.8,0.5,4,6.94
Seko Fofana,Lens,27, M(C)  ,38,3364,8,1,2,0,2.6,89.8,0.5,2,6.94
Ludovic Blas,Nantes,25," M(CLR),FW  ",35,2978,10,5,10,0,2.6,80.9,0.5,3,6.94
Cheick Oumar Doucouré,Lens,23, DMC  ,33(1),2948,1,4,7,1,0.9,87.5,0.6,2,6.94
Houssem Aouar,Lyon,24, M(CL)  ,29(7),2508,6,4,1,0,2.1,86.9,0.2,2,6.93
Jonas Omlin,Montpellier,29, GK  ,29,2589,0,0,0,1,0,74.6,0.4,2,6.93
Danilo Pereira,PSG,31," D(C),DMC  ",22(5),2039,5,0,3,0,0.7,94.6,1.1,0,6.93
Achraf Hakimi,PSG,24," D(LR),M(R)  ",28(4),2486,4,6,3,1,0.6,90.4,0.3,2,6.93
Fabien Centonze,Metz,27," D(R),M(R)  ",18(1),1587,4,1,3,0,0.8,80.1,0.6,1,6.92
Emerson,Lyon,28," D(L),M(L)  ",26(3),2267,1,2,3,1,0.6,86.7,1.4,1,6.91
