Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Azor Matusiwa,Reims,24, DMC  , DMC  ,19(1),0,0,0.3,0.7,0.4,1.2,0,0.4,0.8,6.99
Franck Honorat,Brest,26," M(LR),FW  "," M(LR),FW  ",21(2),4,3,1.4,2.7,0.5,0.6,0.3,0.6,1.9,6.99
Nuno Tavares,Marseille,23," D(L),M(L)  "," D(L),M(L)  ",18(4),6,0,2.3,1,1.7,1.1,0.2,2.3,2.6,6.99
Junya Ito,Reims,30," AM(LR),FW  "," AM(LR),FW  ",22(1),5,5,1.3,1.9,1.7,1.2,0.8,1.3,2.8,6.98
Kevin Danso,Lens,24, D(C)  , D(C)  ,26,1,1,0.6,0.3,0.5,1.9,0,0.3,0.6,6.98
Breel Embolo,Monaco,26," AM(CR),FW  "," AM(CR),FW  ",18(8),12,2,1.4,1.1,1.1,1.7,0.4,1.5,2.2,6.98
Yunis Abdelhamid,Reims,35, D(C)  , D(C)  ,26,1,1,0.8,0.3,0.3,0.7,0,0.7,0.7,6.97
Youcef Belaïli,AC Ajaccio,30, AM(L)  , AM(L)  ,12(2),6,3,2,1.4,1.6,1.4,0.3,1.3,2.6,6.97
Jonathan Bamba,Lille,26," AM(CLR),FW  "," AM(CLR),FW  ",20(2),5,4,2.1,1.5,1,1.7,0.4,1.8,1.9,6.96
Przemyslaw Frankowski,Lens,27, M(CLR)  , M(CLR)  ,20(6),2,2,0.8,2,0.2,0.4,0.2,0.3,1,6.96
Dante,Nice,39, D(C)  , D(C)  ,25,1,2,0.5,0.2,0.1,0.5,0,0.3,0.4,6.96
Valentin Rongier,Marseille,28," D(R),M(C)  "," D(R),M(C)  ",23(2),1,0,0.5,0.8,0.8,0.9,0,0.8,0.8,6.96
Benjamin Bourigeaud,Rennes,29, M(CLR)  , M(CLR)  ,25,3,5,1.6,2.5,0.4,0.4,0.1,0.5,0.9,6.94
Baptiste Santamaría,Rennes,28, DMC  , DMC  ,13(1),1,0,0.9,0.7,0.4,0.8,0.1,0.6,1.5,6.94
Maxence Caqueret,Lyon,23, DMC  , DMC  ,21(3),1,5,0.8,1.5,1,0.8,0.1,1.3,2,6.93
Marshall Munetsi,Reims,26," D(C),M(C)  "," D(C),M(C)  ",19(3),5,2,1.9,0.8,0.7,1.3,0.1,0.5,1.6,6.93
Youssouf Fofana,Monaco,24, DMC  , DMC  ,24(1),1,1,1.2,0.8,1.3,1,0.1,1.4,1.4,6.93
Habib Diallo,Strasbourg,27," AM(R),FW  "," AM(R),FW  ",21(5),13,0,2,0.6,0.6,1.8,0.5,0.8,2.9,6.93
Folarin Balogun,Reims,21, FW  , FW  ,22(3),15,1,3,0.7,0.9,1.6,0.9,2.1,2.7,6.92
Tetê,Lyon,23, AM(R)  , AM(R)  ,14(3),6,2,1.8,0.6,1.2,1.1,0.3,0.9,1.8,6.92
Nicolas Pépé,Nice,27," AM(LR),FW  "," AM(LR),FW  ",14(2),6,0,2.6,1.2,1.6,2,0.4,2.5,2.2,6.92
Pau López,Marseille,28, GK  , GK  ,22,0,1,0,0,0,0.2,0,0,0,6.92
Karl Toko Ekambi,Lyon,30," AM(LR),FW  "," AM(LR),FW  ",15(4),4,2,2.2,1.4,1.4,0.5,0.1,1.3,2,6.91
Neto Borges,Clermont Foot,26," D(L),M(L)  "," D(L),M(L)  ",23,2,0,0.8,1,1.4,1.4,0.1,0.6,1.2,6.91
