Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Evan Ndicka,Eintracht Frankfurt,23, D(CL)  ,22,1973,1,0,3,0,0.5,86.2,2.6,1,6.73
Youssoufa Moukoko,Borussia Dortmund,18, FW  ,11(7),949,6,3,0,0,1.6,72.3,0.3,1,6.71
Mario Götze,Eintracht Frankfurt,30," M(CLR),FW  ",22,1876,2,1,3,0,0.8,77.9,0,0,6.71
Dominik Kohr,Mainz,29, DMC  ,19(1),1576,2,0,6,0,1.2,72.8,1.2,0,6.71
Micky van de Ven,Wolfsburg,21, D(CL)  ,23,2070,1,1,4,0,0.5,88.3,1.2,1,6.71
Tom Krauß,Schalke,21, DMC  ,23,1893,1,0,4,0,0.8,74.2,0.9,0,6.70
Niklas Schmidt,Werder Bremen,25, AM(C)  ,7(8),757,2,0,1,0,0.9,75.4,0.7,1,6.69
André Silva,RBL,27, FW  ,16(7),1364,4,3,2,0,2,75.1,0.7,0,6.69
Oliver Baumann,Hoffenheim,32, GK  ,23,2070,0,0,1,0,0,77.9,0.5,1,6.69
Felix Nmecha,Wolfsburg,22, M(C)  ,9(10),952,2,3,3,0,1.1,72.2,1.3,0,6.69
Marco Richter,Hertha Berlin,25," M(CLR),FW  ",13(7),1196,4,3,4,0,1.9,68.6,0.3,1,6.69
Steffen Tigges,FC Koln,24, FW  ,16(4),1285,5,1,0,0,1.1,58.9,2.6,2,6.69
Chris Führich,Stuttgart,25," M(CLR),FW  ",16(6),1422,4,0,2,0,1.5,80.1,0,0,6.69
Angeliño,Hoffenheim,26," D(L),M(L)  ",21(1),1869,0,6,2,0,0.7,68.1,0.5,1,6.68
Kevin Stöger,Bochum,29, M(CL)  ,20(2),1785,1,1,1,0,1.5,75.4,0.4,1,6.68
Marco Friedl,Werder Bremen,24," D(CL),M(L)  ",21,1787,0,0,6,1,0.1,83.7,1.3,0,6.68
Maya Yoshida,Schalke,34, D(CR)  ,23,2059,0,0,3,0,0.3,77,2.6,0,6.68
Kevin Behrens,Union Berlin,32, FW  ,9(14),915,4,1,2,0,0.6,63.8,4.7,3,6.67
Niklas Süle,Borussia Dortmund,27, D(CR)  ,15(5),1331,1,2,1,0,0.9,89.7,1.1,0,6.67
Hiroki Ito,Stuttgart,23, D(C)  ,20(1),1753,0,1,4,0,0.6,83,1.1,0,6.67
Nico Elvedi,Borussia M.Gladbach,26, D(CLR)  ,21,1846,3,0,1,0,0.6,92.7,2,1,6.67
David Raum,RBL,24," D(L),M(LR)  ",15(6),1301,0,2,3,0,0.5,79.6,0.6,0,6.67
